game_number, agent_type, agent_color, agent_decision_time
78, _alpha_beta_splay, _black_, _0.348699
79, _alpha_beta, _white_, _0.18049300000000001
79, _alpha_beta_splay, _black_, _0.14261399999999996
80, _alpha_beta, _white_, _0.39007600000000026
80, _alpha_beta_splay, _black_, _0.4079310000000005
81, _alpha_beta, _white_, _0.4347890000000001
81, _alpha_beta_splay, _black_, _0.3682420000000006
82, _alpha_beta, _white_, _0.16280599999999998
82, _alpha_beta_splay, _black_, _0.18199000000000004
83, _alpha_beta, _white_, _0.182512
83, _alpha_beta_splay, _black_, _0.15062399999999998
84, _alpha_beta, _white_, _0.22235999999999984
84, _alpha_beta_splay, _black_, _0.462427
85, _alpha_beta, _white_, _0.22438799999999987
85, _alpha_beta_splay, _black_, _0.2431939999999999
86, _alpha_beta, _white_, _0.31611700000000004
86, _alpha_beta_splay, _black_, _0.27638899999999983
87, _alpha_beta, _white_, _0.40881600000000035
87, _alpha_beta_splay, _black_, _0.26029399999999997
88, _alpha_beta, _white_, _0.3331810000000002
88, _alpha_beta_splay, _black_, _0.3191010000000001
89, _alpha_beta, _white_, _0.2843930000000002
89, _alpha_beta_splay, _black_, _0.37209000000000014
90, _alpha_beta, _white_, _0.26466600000000023
90, _alpha_beta_splay, _black_, _0.3146749999999999
91, _alpha_beta, _white_, _0.20756000000000002
91, _alpha_beta_splay, _black_, _0.215375
92, _alpha_beta, _white_, _0.3936460000000003
92, _alpha_beta_splay, _black_, _0.39566900000000027
93, _alpha_beta, _white_, _0.4637320000000002
93, _alpha_beta_splay, _black_, _0.28538200000000025
94, _alpha_beta, _white_, _0.37780500000000006
94, _alpha_beta_splay, _black_, _0.25642800000000004
95, _alpha_beta, _white_, _0.24481999999999982
95, _alpha_beta_splay, _black_, _0.3815270000000003
96, _alpha_beta, _white_, _0.48963400000000035
96, _alpha_beta_splay, _black_, _0.2663280000000001
97, _alpha_beta, _white_, _0.4907100000000001
97, _alpha_beta_splay, _black_, _0.38014000000000064
98, _alpha_beta, _white_, _0.29521300000000006
98, _alpha_beta_splay, _black_, _0.30718200000000023
99, _alpha_beta, _white_, _0.27826100000000015
99, _alpha_beta_splay, _black_, _0.28722600000000004
100, _alpha_beta, _white_, _0.39534900000000034
100, _alpha_beta_splay, _black_, _0.5240140000000005
101, _alpha_beta, _white_, _0.3416740000000001
101, _alpha_beta_splay, _black_, _0.22434299999999982
102, _alpha_beta, _white_, _0.6259480000000003
102, _alpha_beta_splay, _black_, _0.15152699999999988
103, _alpha_beta, _white_, _0.29583100000000007
103, _alpha_beta_splay, _black_, _0.09725599999999997
104, _alpha_beta, _white_, _0.312036
